,"Monday, Express (Credit)","Monday, Express (Paying)","Monday, General Purpose","Tuesday, Express (Credit)","Tuesday, Express (Paying)","Tuesday, General Purpose","Wednesday, Express (Credit)","Wednesday, Express (Paying)","Wednesday, General Purpose","Thursday, Express (Credit)","Thursday, Express (Paying)","Thursday, General Purpose","Friday, Express (Credit)","Friday, Express (Paying)","Friday, General Purpose"
Edge flows,0.0,1911.4623736385117,6088.537626361473,0.0,1911.5183699203678,6088.481630079736,0.0,1911.457851056484,6088.542148943485,0.0,1911.548630519416,6088.451369480586,0.0,1911.4726067669408,6088.527393233093
Eps flows,0.0,618.6873736384907,2210.2126263615055,0.0,618.7433699203483,2210.1566300796358,0.0,618.6828510565167,2210.217148943488,0.0,618.7736305194161,2210.1263694805994,0.0,618.6976067669144,2210.2023932331003
Eligible User Flows,0.0,1359.9999999999848,1.5265058530475185e-11,1359.9999999999848,0.0,1.5280389259516863e-11,0.0,1359.9999999999848,1.527348934647947e-11,1359.9999999999848,0.0,1.5295698924338067e-11,1359.9999999999845,0.0,1.5358841308685796e-11
"Ineligible User Flow, 1",0.0,2.8775870575259432e-12,0.9999999999971224,0.0,3.407385484877068e-12,0.9999999999965926,0.0,3.642308676887751e-12,0.9999999999963577,0.0,3.1461500071827686e-12,0.9999999999968538,0.0,3.5947911314337944e-12,0.9999999999964052
"Ineligible User Flow, 2",0.0,3.394950987001266e-12,0.999999999996605,0.0,3.3082425687780415e-12,0.9999999999966918,0.0,3.40438788271058e-12,0.9999999999965956,0.0,3.5005331966431186e-12,0.9999999999964995,0.0,2.8349544933803372e-12,0.999999999997165
"Ineligible User Flow, 3",0.0,3.2839286845387505e-12,0.9999999999967161,0.0,2.8916868899386827e-12,0.9999999999971083,0.0,2.8385072070591377e-12,0.9999999999971615,0.0,3.109623669672601e-12,0.9999999999968904,0.0,3.5202951664814464e-12,0.9999999999964797
"Ineligible User Flow, 4",0.0,3.0214719615173635e-12,0.9999999999969785,0.0,3.768430012485169e-12,0.9999999999962316,0.0,3.7517766671157915e-12,0.9999999999962482,0.0,3.79229980751461e-12,0.9999999999962077,0.0,3.3384406350478457e-12,0.9999999999966616
"Ineligible User Flow, 5",0.0,3.017697203233638e-12,0.9999999999969823,0.0,2.8738122992422177e-12,0.9999999999971262,0.0,3.5125236053090703e-12,0.9999999999964875,0.0,2.81963341564051e-12,0.9999999999971804,0.0,3.5519365226832633e-12,0.9999999999964481
"Ineligible User Flow, 6",0.0,3.424149852548908e-12,0.9999999999965759,0.0,2.9430902159788275e-12,0.9999999999970569,0.0,3.2236435743016045e-12,0.9999999999967764,0.0,3.0340174816956278e-12,0.999999999996966,0.0,3.356981359559086e-12,0.999999999996643
"Ineligible User Flow, 7",0.0,3.717914864864724e-12,0.9999999999962821,0.0,3.666178471917192e-12,0.9999999999963338,0.0,3.469446951953614e-12,0.9999999999965306,0.0,3.289590821964339e-12,0.9999999999967104,0.0,3.045230734244342e-12,0.9999999999969548
"Ineligible User Flow, 8",0.0,3.4051650388278176e-12,0.9999999999965948,0.0,3.31612515225288e-12,0.9999999999966839,0.0,3.1246116805050406e-12,0.9999999999968754,0.0,3.679168081305306e-12,0.9999999999963208,0.0,2.8630431359033537e-12,0.999999999997137
"Ineligible User Flow, 9",0.0,2.8768099014087056e-12,0.9999999999971232,0.0,3.1239455466902655e-12,0.999999999996876,0.0,3.6561864646955655e-12,0.9999999999963438,0.0,3.3506530883187224e-12,0.9999999999966493,0.0,3.1825653223904737e-12,0.9999999999968174
"Ineligible User Flow, 10",0.0,2.917333041807524e-12,0.9999999999970827,0.0,3.2288616225173428e-12,0.9999999999967711,0.0,3.1816771439707736e-12,0.9999999999968183,0.0,3.3650859876388495e-12,0.9999999999966349,0.0,3.729905273530676e-12,0.9999999999962701
"Ineligible User Flow, 11",0.0,3.2609470679290098e-12,0.999999999996739,0.0,3.623101818561736e-12,0.9999999999963769,0.0,2.8752555891742304e-12,0.9999999999971247,0.0,3.2850389075633757e-12,0.999999999996715,0.0,3.449351915207899e-12,0.9999999999965506
"Ineligible User Flow, 12",0.0,3.539391002504999e-12,0.9999999999964606,0.0,3.777422818984633e-12,0.9999999999962226,0.0,3.5175196089198835e-12,0.9999999999964825,0.0,3.3116842601543794e-12,0.9999999999966883,0.0,3.371636303484138e-12,0.9999999999966284
"Ineligible User Flow, 13",0.0,3.572142581731441e-12,0.9999999999964279,0.0,2.8285151998375113e-12,0.9999999999971715,0.0,3.3371083674182955e-12,0.9999999999966629,0.0,3.35054206601626e-12,0.9999999999966495,0.0,3.002154080888886e-12,0.9999999999969978
"Ineligible User Flow, 14",0.0,2.851718861052177e-12,0.9999999999971483,0.0,3.343880727868509e-12,0.9999999999966561,0.0,3.4771074908235278e-12,0.9999999999965229,0.0,3.428257677740021e-12,0.9999999999965717,0.0,3.528621839166135e-12,0.9999999999964714
"Ineligible User Flow, 15",0.0,3.288369576637251e-12,0.9999999999967116,0.0,3.324895914147419e-12,0.9999999999966751,0.0,2.9827251779579456e-12,0.9999999999970173,0.0,3.4893199440944045e-12,0.9999999999965107,0.0,3.093303391210611e-12,0.9999999999969067
"Ineligible User Flow, 16",0.0,3.3687497236201125e-12,0.9999999999966313,0.0,2.8606006452491783e-12,0.9999999999971394,0.0,3.384181823662402e-12,0.9999999999966158,0.0,3.3064662119386412e-12,0.9999999999966935,0.0,3.095190770352474e-12,0.9999999999969048
"Ineligible User Flow, 17",0.0,3.0384583737941284e-12,0.9999999999969615,0.0,3.816613691753901e-12,0.9999999999961834,0.0,3.224420730418842e-12,0.9999999999967756,0.0,3.2933655802480644e-12,0.9999999999967066,0.0,2.8534952178915773e-12,0.9999999999971465
"Ineligible User Flow, 18",0.0,3.640865386955738e-12,0.9999999999963591,0.0,3.4088287748090806e-12,0.9999999999965912,0.0,2.848721258885689e-12,0.9999999999971513,0.0,3.453459740399012e-12,0.9999999999965465,0.0,3.390177027995378e-12,0.9999999999966098
"Ineligible User Flow, 19",0.0,3.0593305666570814e-12,0.9999999999969407,0.0,3.3634206531019117e-12,0.9999999999966366,0.0,3.2445157671645575e-12,0.9999999999967555,0.0,3.3590907833058736e-12,0.9999999999966409,0.0,3.233191492313381e-12,0.9999999999967668
"Ineligible User Flow, 20",0.0,2.9377611454606267e-12,0.9999999999970622,0.0,3.0763169789338463e-12,0.9999999999969237,0.0,3.234967849152781e-12,0.999999999996765,0.0,3.642974810702526e-12,0.999999999996357,0.0,3.076872090446159e-12,0.9999999999969231
"Ineligible User Flow, 21",0.0,3.4137137561174313e-12,0.9999999999965863,0.0,3.690936445366333e-12,0.9999999999963091,0.0,3.3388847242576958e-12,0.9999999999966611,0.0,3.727795849783888e-12,0.9999999999962722,0.0,3.1801228317362984e-12,0.9999999999968199
"Ineligible User Flow, 22",0.0,3.257727421157597e-12,0.9999999999967423,0.0,2.8621549574836536e-12,0.9999999999971378,0.0,3.4579006324975126e-12,0.9999999999965421,0.0,3.4613423238738505e-12,0.9999999999965387,0.0,3.428923811554796e-12,0.9999999999965711
"Ineligible User Flow, 23",0.0,3.2924774018283642e-12,0.9999999999967075,0.0,3.6082248300317588e-12,0.9999999999963918,0.0,3.078204358075709e-12,0.9999999999969218,0.0,3.662514735935929e-12,0.9999999999963375,0.0,3.4630076584107883e-12,0.999999999996537
"Ineligible User Flow, 24",0.0,3.4475755583684986e-12,0.9999999999965524,0.0,3.2390756743438942e-12,0.9999999999967609,0.0,3.241185098090682e-12,0.9999999999967588,0.0,2.9676261448230434e-12,0.9999999999970324,0.0,3.2635005808856477e-12,0.9999999999967365
"Ineligible User Flow, 25",0.0,3.5319525082400105e-12,0.999999999996468,0.0,3.614331056667197e-12,0.9999999999963857,0.0,3.2940317140628395e-12,0.999999999996706,0.0,3.1730174043786974e-12,0.999999999996827,0.0,3.771427614651657e-12,0.9999999999962286
"Ineligible User Flow, 26",0.0,3.4582336994049e-12,0.9999999999965418,0.0,3.0810909379397344e-12,0.9999999999969189,0.0,3.3525404674605852e-12,0.9999999999966475,0.0,3.5543790133374387e-12,0.9999999999964456,0.0,3.358091582583711e-12,0.9999999999966419
"Ineligible User Flow, 27",0.0,3.3810731991934517e-12,0.9999999999966189,0.0,3.778866108916645e-12,0.9999999999962211,0.0,3.0996316624509745e-12,0.9999999999969004,0.0,3.028466366572502e-12,0.9999999999969715,0.0,3.3921754294397033e-12,0.9999999999966078
"Ineligible User Flow, 28",0.0,3.0727642652550458e-12,0.9999999999969272,0.0,3.7618796966398804e-12,0.9999999999962381,0.0,3.0158098240917752e-12,0.9999999999969842,0.0,2.983502334075183e-12,0.9999999999970165,0.0,3.558930927738402e-12,0.9999999999964411
"Ineligible User Flow, 29",0.0,2.9531932455029164e-12,0.9999999999970468,0.0,3.5954572652485695e-12,0.9999999999964045,0.0,3.6152192350868972e-12,0.9999999999963848,0.0,3.231082068566593e-12,0.9999999999967689,0.0,3.8081759967667494e-12,0.9999999999961918
"Ineligible User Flow, 30",0.0,3.668176873361517e-12,0.9999999999963318,0.0,3.2348568268503186e-12,0.9999999999967651,0.0,3.465339126762501e-12,0.9999999999965347,0.0,3.020694805400126e-12,0.9999999999969793,0.0,2.8819169273219813e-12,0.9999999999971181
"Ineligible User Flow, 31",0.0,3.616440480413985e-12,0.9999999999963836,0.0,2.8733682100323676e-12,0.9999999999971266,0.0,3.031241924134065e-12,0.9999999999969688,0.0,3.092193168185986e-12,0.9999999999969078,0.0,3.4343639043754592e-12,0.9999999999965656
"Ineligible User Flow, 32",0.0,2.85405032940389e-12,0.999999999997146,0.0,2.8929081352657704e-12,0.9999999999971071,0.0,2.938649323880327e-12,0.9999999999970614,0.0,3.191447106587475e-12,0.9999999999968086,0.0,3.2034375152534267e-12,0.9999999999967966
"Ineligible User Flow, 33",0.0,3.623323863166661e-12,0.9999999999963767,0.0,3.300582029908128e-12,0.9999999999966994,0.0,3.721023489333675e-12,0.999999999996279,0.0,3.3123503939691545e-12,0.9999999999966876,0.0,3.2813751715821127e-12,0.9999999999967186
"Ineligible User Flow, 34",0.0,3.0959679264697115e-12,0.999999999996904,0.0,3.3946179200938786e-12,0.9999999999966054,0.0,3.5123015607041452e-12,0.9999999999964877,0.0,2.9717339700141565e-12,0.9999999999970283,0.0,3.302358386747528e-12,0.9999999999966976
"Ineligible User Flow, 35",0.0,3.011924043505587e-12,0.9999999999969881,0.0,3.774314194515682e-12,0.9999999999962257,0.0,3.344768906288209e-12,0.9999999999966552,0.0,2.9568569814841794e-12,0.9999999999970431,0.0,3.465783215972351e-12,0.9999999999965342
"Ineligible User Flow, 36",0.0,3.1120661603267763e-12,0.9999999999968879,0.0,3.680056259725006e-12,0.9999999999963199,0.0,2.94231305986159e-12,0.9999999999970577,0.0,3.484657007390979e-12,0.9999999999965153,0.0,3.2890357104520263e-12,0.999999999996711
"Ineligible User Flow, 37",0.0,3.4600100562443004e-12,0.99999999999654,0.0,3.348876731479322e-12,0.9999999999966511,0.0,2.9825031333530205e-12,0.9999999999970175,0.0,3.4710012641880894e-12,0.999999999996529,0.0,3.5337288650794108e-12,0.9999999999964663
"Ineligible User Flow, 38",0.0,3.4070524179696804e-12,0.999999999996593,0.0,3.102296197710075e-12,0.9999999999968977,0.0,3.715361351908086e-12,0.9999999999962846,0.0,3.1418201373867305e-12,0.9999999999968582,0.0,3.1801228317362984e-12,0.9999999999968199
"Ineligible User Flow, 39",0.0,3.3887337380633653e-12,0.9999999999966113,0.0,3.817945959383451e-12,0.999999999996182,0.0,3.292033312618514e-12,0.999999999996708,0.0,3.1876723483037495e-12,0.9999999999968123,0.0,3.2068792066297647e-12,0.9999999999967931
"Ineligible User Flow, 40",0.0,3.1883384821185246e-12,0.9999999999968117,0.0,3.22608606495578e-12,0.9999999999967739,0.0,3.01469960106715e-12,0.9999999999969853,0.0,3.110289803487376e-12,0.9999999999968897,0.0,3.2518432391270835e-12,0.9999999999967482
"Ineligible User Flow, 41",0.0,2.982614155655483e-12,0.9999999999970174,0.0,3.332667475319795e-12,0.9999999999966673,0.0,3.767763878670394e-12,0.9999999999962322,0.0,3.1370461783808423e-12,0.999999999996863,0.0,2.9521940447807538e-12,0.9999999999970478
"Ineligible User Flow, 42",0.0,2.841171742318238e-12,0.9999999999971588,0.0,3.3861802251067274e-12,0.9999999999966138,0.0,3.6635139366580916e-12,0.9999999999963365,0.0,3.123612479782878e-12,0.9999999999968764,0.0,3.729794251228213e-12,0.9999999999962702
"Ineligible User Flow, 43",0.0,3.084643651618535e-12,0.9999999999969154,0.0,3.08486569622346e-12,0.9999999999969151,0.0,3.1326052862823417e-12,0.9999999999968674,0.0,3.726241537549413e-12,0.9999999999962738,0.0,2.984723579402271e-12,0.9999999999970153
"Ineligible User Flow, 44",0.0,3.2460700793990327e-12,0.9999999999967539,0.0,2.8782531913407183e-12,0.9999999999971217,0.0,3.678835014397919e-12,0.9999999999963212,0.0,3.378075597026964e-12,0.9999999999966219,0.0,3.062661235730957e-12,0.9999999999969373
"Ineligible User Flow, 45",0.0,2.995492742741135e-12,0.9999999999970045,0.0,3.1805669209461485e-12,0.9999999999968194,0.0,3.755773470004442e-12,0.9999999999962442,0.0,3.724576203012475e-12,0.9999999999962754,0.0,3.3454350401029842e-12,0.9999999999966546
"Ineligible User Flow, 46",0.0,3.4322544806286714e-12,0.9999999999965677,0.0,3.6152192350868972e-12,0.9999999999963848,0.0,3.671174475528005e-12,0.9999999999963288,0.0,3.6085578969391463e-12,0.9999999999963914,0.0,3.195776976383513e-12,0.9999999999968042
"Ineligible User Flow, 47",0.0,3.344102772473434e-12,0.9999999999966559,0.0,2.8741453661496053e-12,0.9999999999971259,0.0,3.5058622671613193e-12,0.9999999999964941,0.0,3.081646049452047e-12,0.9999999999969184,0.0,3.485101096600829e-12,0.9999999999965149
"Ineligible User Flow, 48",0.0,3.5011993304578937e-12,0.9999999999964988,0.0,3.1558089474970075e-12,0.9999999999968442,0.0,3.759992317498018e-12,0.99999999999624,0.0,3.1370461783808423e-12,0.999999999996863,0.0,3.2580604880649844e-12,0.9999999999967419
"Ineligible User Flow, 49",0.0,3.024358541381389e-12,0.9999999999969756,0.0,3.1931124411244127e-12,0.9999999999968069,0.0,3.8051783946002615e-12,0.9999999999961948,0.0,3.070210752298408e-12,0.9999999999969298,0.0,3.51163542688937e-12,0.9999999999964884
"Ineligible User Flow, 50",0.0,3.128164394183841e-12,0.9999999999968718,0.0,3.6075586962169837e-12,0.9999999999963924,0.0,3.226308109560705e-12,0.9999999999967737,0.0,2.9602986728605174e-12,0.9999999999970397,0.0,2.8458346790216638e-12,0.9999999999971542
"Ineligible User Flow, 51",0.0,3.2039926267657393e-12,0.999999999996796,0.0,3.799849324082061e-12,0.9999999999962002,0.0,2.924882558374975e-12,0.9999999999970751,0.0,3.2525093729418586e-12,0.9999999999967475,0.0,3.334443832159195e-12,0.9999999999966656
